episode, sarsa, exp_sarsa, q, q_with_memory
4.500000000000000000e+03,8.650270803110857165e-02,3.053354800735327834e-01,2.141302678304280172e-01,2.887702982541637819e-01
4.600000000000000000e+03,9.936146326383854532e-02,1.069085791537446178e-01,2.311849877138920650e-01,1.472352798953385777e-01
4.700000000000000000e+03,1.906651201497144843e-01,2.160840536949408253e-01,3.156895592848062426e-01,6.503386036088963651e-02
4.800000000000000000e+03,2.058454034763642082e-01,2.739190615976364596e-01,2.069609442492904572e-01,1.857735620326194104e-01
4.900000000000000000e+03,2.575448308916585827e-01,2.773051335122911909e-01,1.488124984890652480e-01,2.484761701481576768e-01
5.000000000000000000e+03,3.017937546791706338e-01,1.826051215902660951e-01,4.893413814626901975e-02,1.427463104219003076e-01
5.100000000000000000e+03,2.443223404824932665e-01,2.575177219688311592e-01,2.968482134237777625e-01,1.583377959592930095e-01
5.200000000000000000e+03,3.294765292979881521e-01,2.780269427786637992e-01,1.853960721076529650e-01,2.445393234763489076e-01
5.300000000000000000e+03,1.704447757211556003e-01,2.511910423316916496e-01,2.434758777451221101e-01,3.273548256317835858e-01
5.400000000000000000e+03,2.250080427765974722e-01,3.410119353426360744e-01,2.275975810429509416e-01,2.389082286198687399e-01
5.500000000000000000e+03,2.560686373394312487e-01,2.564803067342594223e-01,2.825227230928789024e-01,1.657026670077995090e-01
5.600000000000000000e+03,1.436379159941448269e-01,3.230592763194449213e-01,2.439760181057595567e-01,8.820296723916763726e-02
5.700000000000000000e+03,2.967594197147728763e-01,3.042593407364336255e-01,2.661160159318194940e-01,2.738133859465247122e-01
5.800000000000000000e+03,2.992993317090889005e-01,2.783616157470161778e-01,2.233579816552072883e-01,2.650619476810413544e-01
5.900000000000000000e+03,3.163163507666841845e-01,3.033989049014406136e-01,2.345968870429768760e-01,2.735783211953805947e-03
6.000000000000000000e+03,2.984223020982988417e-01,3.205836121321548604e-01,1.585337626042840065e-01,1.889377907114486999e-01
6.100000000000000000e+03,3.254437886974227978e-01,2.985515885236525446e-01,1.800385010156790588e-01,1.596095649817450557e-01
6.200000000000000000e+03,2.840134621472897303e-01,2.921896829382724103e-01,2.852026637730855629e-01,1.310615149385337408e-01
6.300000000000000000e+03,2.488538091893214843e-01,2.474742291140990258e-01,2.991841035527686987e-01,1.708159956013640401e-01
6.400000000000000000e+03,3.077981370025454910e-01,3.295066026590448005e-01,3.077198712624528709e-01,2.980960760107990715e-01
6.500000000000000000e+03,3.419557819925119202e-01,2.636633269725752182e-01,3.272271634923071826e-01,2.653948399475860032e-01
6.600000000000000000e+03,3.181921097066408022e-01,2.702541149752050731e-01,3.122343985957760082e-01,1.646267185853808046e-01
6.700000000000000000e+03,2.593259870745356910e-01,3.076307482856981412e-01,2.566255836121087430e-01,8.841289190303504297e-03
6.800000000000000000e+03,2.559555107842217403e-01,2.920204509595064613e-01,2.293719503895556011e-01,5.842458333582625091e-02
6.900000000000000000e+03,2.604511866776142437e-01,2.976875905597973215e-01,2.112974662317433361e-01,2.442620126328780006e-01
7.000000000000000000e+03,1.559014402033815916e-01,2.690483701329206001e-01,2.999702568463501473e-01,2.732021942767990375e-01
7.100000000000000000e+03,3.001787244371028063e-01,2.627554008851843981e-01,3.039907724731353289e-01,2.957973204482919893e-01
7.200000000000000000e+03,2.809390339096775047e-01,2.890843979325493640e-01,2.603736616227364520e-01,1.935678238898693171e-01
7.300000000000000000e+03,2.793643969058491328e-01,3.462900135691816539e-01,2.409457558579892744e-01,1.709500958768410961e-01
7.400000000000000000e+03,2.138640515216181370e-01,3.397492983911748476e-01,2.151321853904358539e-01,1.185447947728527629e-01
7.500000000000000000e+03,2.833621781602609357e-01,3.418690214644920511e-01,2.252854788324670232e-01,0.000000000000000000e+00
7.600000000000000000e+03,2.470901803414763953e-01,2.708026334126361623e-01,8.427455210300957567e-02,2.497428667124894364e-01
7.700000000000000000e+03,3.375174018433705347e-01,2.392480409717976653e-01,3.803008747745334484e-02,1.444690664770932609e-01
7.800000000000000000e+03,3.166370757185015261e-01,3.036516663963791385e-01,7.853207411849223718e-02,3.065069368787464721e-01
7.900000000000000000e+03,3.322052878690082145e-01,3.639811766176772601e-01,2.727787621559961684e-01,2.752857369642583985e-01
8.000000000000000000e+03,3.267455364812691943e-01,3.217381183872765615e-01,2.836242178539480352e-01,3.330855995564888650e-01
8.100000000000000000e+03,3.359513194513868428e-01,3.358940381939840014e-01,3.023325243263665918e-01,3.339066835133309707e-01
8.200000000000000000e+03,3.136960918500238393e-01,2.940543467881244211e-01,3.044296682404878385e-01,2.521088962460414362e-01
8.300000000000000000e+03,3.179447484174545702e-01,3.221789361149230979e-01,2.542337900519048843e-01,2.750795038164733364e-01
8.400000000000000000e+03,3.363994794758269347e-01,3.042305219729101728e-01,3.379973727472302403e-01,1.824355629198580742e-01
8.500000000000000000e+03,3.286617363805418024e-01,3.334009151090694956e-01,3.703866831107084368e-01,2.920104782392637377e-01
8.600000000000000000e+03,3.269085582062258299e-01,2.861514486908990351e-01,2.949591039056613795e-01,3.042424389507872862e-01
8.700000000000000000e+03,3.554789811704640590e-01,3.034428646813841501e-01,2.769786954803463708e-01,2.331184388813031250e-01
8.800000000000000000e+03,3.204294784804661567e-01,3.341424345342249858e-01,2.746139128151227071e-01,1.880006265681491151e-01
8.900000000000000000e+03,3.265764585926676511e-01,3.018719734189604931e-01,2.756037903947031187e-01,3.282444997479621596e-01
9.000000000000000000e+03,3.325490421239281069e-01,3.232893204683297550e-01,2.989873445092005588e-01,3.073444715905211677e-02
9.100000000000000000e+03,2.753102902157519849e-01,2.896740355952077683e-01,2.842124864028255371e-01,3.263336501087520936e-01
9.200000000000000000e+03,2.820149006908662104e-01,2.900146999985529495e-01,3.062790869465368826e-01,2.238183624309261766e-01
9.300000000000000000e+03,3.252838656614370771e-01,3.160929188644684973e-01,3.097462514011313783e-01,1.471758968725564720e-01
9.400000000000000000e+03,3.239398447434526651e-01,2.901591956974661213e-01,3.029168681218901704e-01,2.020102049868474914e-01
9.500000000000000000e+03,2.979882546312104807e-01,3.079844539177022389e-01,3.249301923601990438e-01,2.610747592756000879e-01
9.600000000000000000e+03,3.315297548064868316e-01,3.167080276520312099e-01,2.642732223307078798e-01,3.106881695742712557e-01
9.700000000000000000e+03,3.449509399589716363e-01,3.049430327413118480e-01,2.845829655946322534e-01,3.111896884442399425e-01
9.800000000000000000e+03,3.130096910921255082e-01,3.177488964987243980e-01,2.839798349710723202e-01,1.907075981716902513e-01
9.900000000000000000e+03,3.344697673973945351e-01,2.915082910896755197e-01,3.738448252236022951e-01,2.076300038481279295e-02
1.000000000000000000e+04,2.721367957584703290e-01,3.323613470836141448e-01,3.220081949595942072e-01,2.808231108113160013e-01
1.010000000000000000e+04,3.315428639491800333e-01,3.377981241905318455e-01,3.107754127037982705e-01,2.062018064728159683e-01
1.020000000000000000e+04,3.003315850961424394e-01,2.945545159801352120e-01,3.142011707164684142e-01,1.952198851255079470e-01
1.030000000000000000e+04,3.325258430980845281e-01,3.010814063397421747e-01,3.402332953827144624e-01,2.710152729939421801e-01
1.040000000000000000e+04,3.169025718730328345e-01,3.360901678756316180e-01,3.474607499472445182e-01,2.050730574778256432e-01
1.050000000000000000e+04,3.108765524781605394e-01,3.069747512683588808e-01,3.738370104216162115e-01,2.981905451737908996e-01
1.060000000000000000e+04,3.088894523755212340e-01,2.953928030283183848e-01,2.818692216330360156e-01,3.024674498298317582e-01
1.070000000000000000e+04,3.624997842676742632e-01,3.160265524159308614e-01,3.551422857605582850e-01,3.333785791935358067e-01
1.080000000000000000e+04,3.497697094016332109e-01,3.135296562244471175e-01,2.881508693320108394e-01,4.106033269208329006e-01
1.090000000000000000e+04,3.389833346906326872e-01,3.303630500523214164e-01,2.644197099573269427e-01,3.020031966490202557e-01
1.100000000000000000e+04,3.527470785084490523e-01,3.026010145169151233e-01,3.100097735737881721e-01,3.416220052110450767e-01
1.110000000000000000e+04,3.387699736678804197e-01,3.450899579469966505e-01,3.253311280781614467e-01,3.291038320261177041e-01
1.120000000000000000e+04,3.053979953308564865e-01,2.775804710726338942e-01,3.458904758080907915e-01,3.509980615829335626e-01
1.130000000000000000e+04,2.990962106901931539e-01,2.928053672262374563e-01,3.143028018872611185e-01,3.438988820125780665e-01
1.140000000000000000e+04,3.232687183334979619e-01,2.974752910293806951e-01,3.021819922728689600e-01,3.341378389113009439e-01
1.150000000000000000e+04,3.318019843303561811e-01,3.137539321557764049e-01,3.098341604258963433e-01,3.326910316501997533e-01
1.160000000000000000e+04,3.501511756759195793e-01,3.135171333394288773e-01,3.512250543258627067e-01,2.664007239103826086e-01
1.170000000000000000e+04,3.403205088507690323e-01,2.775552625481675917e-01,3.146546630573798797e-01,3.119482268475061715e-01
1.180000000000000000e+04,3.537578327702495806e-01,3.010320323693780886e-01,2.805267437618630399e-01,3.270411655949560514e-01
1.190000000000000000e+04,3.213840880244183684e-01,3.236668287163830815e-01,3.371713957588744481e-01,3.033655142140667116e-01
1.200000000000000000e+04,2.949114596747681727e-01,2.993730022060574480e-01,2.854288130515105215e-01,2.552435672761793617e-01
1.210000000000000000e+04,2.977216124409912124e-01,3.139837052457261080e-01,2.996382566536781589e-01,6.630346810323921314e-03
1.220000000000000000e+04,3.276263746480984063e-01,2.836193052352100619e-01,3.442258547194897988e-01,1.947223695182454528e-01
1.230000000000000000e+04,2.950444030866775091e-01,3.277173871002807548e-01,3.327765758952938580e-01,1.746256113224045337e-01
1.240000000000000000e+04,3.562190475643325360e-01,3.180687503267242144e-01,3.176328514398742975e-01,3.056352914503157048e-01
1.250000000000000000e+04,3.382862049973208163e-01,2.650008713404951588e-01,3.012430018821021793e-01,3.255630648297088148e-01
1.260000000000000000e+04,3.186578111585341433e-01,3.099626305272265570e-01,3.182567734101637846e-01,3.023273536633113157e-01
1.270000000000000000e+04,3.571591761624373640e-01,2.999234042517577303e-01,3.541842712964851092e-01,2.944779479141665934e-01
1.280000000000000000e+04,3.152142021652196702e-01,3.426725370465334986e-01,3.443876530214186604e-01,3.185697073661356571e-01
1.290000000000000000e+04,3.350119035486129881e-01,3.179080133629879068e-01,2.968542738641309908e-01,3.331381347064750753e-01
1.300000000000000000e+04,3.277640171510190492e-01,2.831296872449791113e-01,3.188591784492300629e-01,2.774683746699385112e-01
1.310000000000000000e+04,3.374483388446124499e-01,3.047681360996835065e-01,3.361020183378349291e-01,3.161642730612412855e-01
1.320000000000000000e+04,3.142755518857348607e-01,2.913594923333177600e-01,3.086827161686003795e-01,3.175976781544448957e-01
1.330000000000000000e+04,3.227229893480921263e-01,3.060543315046569401e-01,3.163983604073092870e-01,3.208780528974867763e-01
1.340000000000000000e+04,3.268211536948262275e-01,3.397524568898199204e-01,3.279599019321960962e-01,3.089738651407863967e-01
1.350000000000000000e+04,3.179816567433425001e-01,3.115292201977803987e-01,3.115719214612930887e-01,3.241495831923894011e-01
1.360000000000000000e+04,3.426259571187398323e-01,3.197618131447158007e-01,3.260838261380058500e-01,3.211308736733540781e-01
1.370000000000000000e+04,3.157604765416542336e-01,3.528462676881026772e-01,3.126821704233824772e-01,2.942524992293441000e-01
1.380000000000000000e+04,3.062765733674790436e-01,3.353944382408087788e-01,3.184379277893912286e-01,3.201610449478108911e-01
1.390000000000000000e+04,3.347468582742303966e-01,3.215331787088367421e-01,3.577003089102274713e-01,3.177866210019013038e-01
1.400000000000000000e+04,2.870826767236552834e-01,3.116449832514554541e-01,3.287505685735673810e-01,3.052998267723893711e-01
1.410000000000000000e+04,3.073866812583578856e-01,3.262816918465102356e-01,2.937037144812990053e-01,3.073372541577028549e-01
1.420000000000000000e+04,3.294280139726765699e-01,3.379068385589510393e-01,3.236850363756715865e-01,3.262416911813499354e-01
1.430000000000000000e+04,3.156621742977449019e-01,3.026661705337863606e-01,3.273593966578421388e-01,3.045584920541837826e-01
1.440000000000000000e+04,3.470919364617200409e-01,3.343436740155084630e-01,3.041431625869529531e-01,3.520965327576421888e-01
1.450000000000000000e+04,3.227672966271961097e-01,3.132892075944674892e-01,3.092419796415520339e-01,3.306863947693459149e-01
1.460000000000000000e+04,3.452469246697622562e-01,2.677090051978390228e-01,3.174703078398674050e-01,3.012014902502979097e-01
1.470000000000000000e+04,3.194786403548559583e-01,3.571626184490975797e-01,3.088664032872656673e-01,3.353582112740521315e-01
1.480000000000000000e+04,3.312969935232498164e-01,3.567786856971257858e-01,3.410147244391728560e-01,2.978703719297166597e-01
1.490000000000000000e+04,3.604888566474638845e-01,2.755184015037968615e-01,3.018467051011385349e-01,2.995013480595070110e-01
1.500000000000000000e+04,3.397632364667882987e-01,2.795718438421350704e-01,3.432610209084010489e-01,2.894045753823046296e-01
1.510000000000000000e+04,2.949074620318060114e-01,3.123588798335518724e-01,3.079678547227924224e-01,3.160212252959485602e-01
1.520000000000000000e+04,3.314975613922604980e-01,2.860822370349486166e-01,3.271650012174140421e-01,3.349173857073927119e-01
1.530000000000000000e+04,3.057948094276563000e-01,3.389086992283326660e-01,3.003392210764740389e-01,2.940301823526399461e-01
1.540000000000000000e+04,3.098132184925559418e-01,2.923537997680133449e-01,3.195040920854477218e-01,3.109518555899496994e-01
1.550000000000000000e+04,3.194034429821227539e-01,3.074532768381213477e-01,3.301304138746533057e-01,3.202353622701882285e-01
1.560000000000000000e+04,3.557441133625329210e-01,3.512781257292542092e-01,3.030113252338843544e-01,3.222726068607370542e-01
