episode, tdn, tdn_sarsa
6.900000000000000000e+03,2.476588567714292921e-01,1.794908967666726252e-01
7.000000000000000000e+03,2.440146561845064621e-01,1.893167385422434568e-01
7.100000000000000000e+03,2.422689404223188070e-01,2.247262036425922149e-01
7.200000000000000000e+03,3.925119725333912207e-02,2.088676326043193143e-01
7.300000000000000000e+03,2.278981121421680758e-02,2.179974787352823296e-01
7.400000000000000000e+03,2.699253252278061566e-01,1.905648778536446486e-01
7.500000000000000000e+03,2.692850648492273735e-01,7.856686250758485035e-03
7.600000000000000000e+03,2.421038838188141473e-01,2.905267755537233043e-01
7.700000000000000000e+03,2.471004847119631365e-01,2.762510750833997442e-01
7.800000000000000000e+03,2.534716755712243530e-01,2.815213088053763468e-01
7.900000000000000000e+03,1.969195474178728200e-01,2.173030461740106389e-01
8.000000000000000000e+03,2.121992243165534142e-01,1.589514756968758158e-01
8.100000000000000000e+03,2.602130942004278191e-01,2.178799509451146976e-01
8.200000000000000000e+03,6.203254688550048634e-02,1.914827486171397641e-01
8.300000000000000000e+03,2.106516683967043224e-01,2.223056392458816199e-01
8.400000000000000000e+03,7.131008661744657473e-02,1.524120604980715998e-01
8.500000000000000000e+03,9.476952945083487456e-02,2.465727299761639180e-01
8.600000000000000000e+03,2.026882297713229197e-01,2.278072044268815433e-01
8.700000000000000000e+03,1.411170116671053021e-01,2.499763247833763913e-01
8.800000000000000000e+03,2.353223513697559333e-01,2.314664226558438009e-01
8.900000000000000000e+03,2.133566796613987349e-01,2.496381706365314868e-01
9.000000000000000000e+03,2.416260184867785599e-01,2.277302052994321369e-01
9.100000000000000000e+03,1.909274716218862245e-01,2.934288578683407200e-01
9.200000000000000000e+03,1.468951546069687808e-01,2.557192709638189121e-01
9.300000000000000000e+03,2.220296614480213038e-01,2.362445362533005522e-01
9.400000000000000000e+03,2.027999303792353269e-01,1.871653767745538599e-01
9.500000000000000000e+03,2.429275741751160955e-01,1.880906002524811160e-01
9.600000000000000000e+03,2.327206369506881201e-01,2.711076868782320015e-01
9.700000000000000000e+03,2.436736935487643363e-01,2.478557849349332931e-01
9.800000000000000000e+03,2.414124224516717987e-01,1.780451721920102148e-01
9.900000000000000000e+03,1.971943966289886885e-01,2.767908495416859793e-01
1.000000000000000000e+04,2.410506242363448515e-01,3.014907977550899676e-01
1.010000000000000000e+04,2.216559917290579773e-01,2.635679729286650730e-01
1.020000000000000000e+04,2.211086314128317687e-01,2.963023689402457528e-01
1.030000000000000000e+04,2.362281729624282622e-01,2.922313369839207309e-01
1.040000000000000000e+04,2.750772608682849341e-01,2.788716683768324711e-01
1.050000000000000000e+04,2.316338299869092066e-01,3.145502059681381524e-01
1.060000000000000000e+04,2.402780562747648119e-01,2.962556697983019238e-01
1.070000000000000000e+04,2.266491826802570775e-01,2.861860665096134793e-01
1.080000000000000000e+04,2.176114366716137838e-01,3.024648024556094161e-01
1.090000000000000000e+04,2.133911307107403399e-01,2.674414325789613023e-01
1.100000000000000000e+04,2.364009138912852026e-01,2.525954602155183193e-01
