episode, onehot_dqn, xy_dqn
8.100000000000000000e+03,3.668460095358085371e-01,3.203459115138623803e-01
8.200000000000000000e+03,3.145741011890120786e-01,3.088623062240742345e-01
8.300000000000000000e+03,3.649026393704721816e-01,3.306411199666036693e-01
8.400000000000000000e+03,3.534403953380326757e-01,2.679797567749845344e-01
8.500000000000000000e+03,3.838345902378794139e-01,2.992248792346520747e-01
8.600000000000000000e+03,3.264185063138728693e-01,3.022290749303790380e-01
8.700000000000000000e+03,3.295619895793174825e-01,2.711857667990844600e-01
8.800000000000000000e+03,3.433896150934646063e-01,2.378453455669985450e-01
8.900000000000000000e+03,3.244216994762466055e-01,2.994336144832849267e-01
9.000000000000000000e+03,2.922842149235331255e-01,2.338121535151688191e-01
9.100000000000000000e+03,2.941705064849216011e-01,3.225563085911980488e-01
9.200000000000000000e+03,3.115832372375689219e-01,2.599190206547712934e-01
9.300000000000000000e+03,3.336169010537640145e-01,3.062445312371666617e-01
9.400000000000000000e+03,2.220483193368178731e-01,3.086731704546773480e-01
9.500000000000000000e+03,2.720984179403969638e-01,3.063794538539283963e-01
9.600000000000000000e+03,3.316194185276372663e-01,2.790149609093349747e-01
9.700000000000000000e+03,3.091429100710429423e-01,3.118016218260505901e-01
9.800000000000000000e+03,3.008951687142040199e-01,1.992906223024464019e-01
9.900000000000000000e+03,2.763196892701253460e-01,2.768888374918999640e-01
